second,upload_bytes,download_bytes,total_bytes,spike
2026-05-10 18:59:06+03:00,220.0,96.0,316.0,False
2026-05-10 18:59:07+03:00,139.0,139.0,278.0,False
2026-05-10 18:59:08+03:00,42.0,42.0,84.0,False
2026-05-10 18:59:11+03:00,220.0,96.0,316.0,False
2026-05-10 18:59:16+03:00,220.0,96.0,316.0,False
2026-05-10 18:59:21+03:00,220.0,96.0,316.0,False
2026-05-10 18:59:26+03:00,220.0,96.0,316.0,False
2026-05-10 18:59:31+03:00,220.0,96.0,316.0,False
2026-05-10 18:59:36+03:00,220.0,96.0,316.0,False
2026-05-10 18:59:41+03:00,220.0,96.0,316.0,False
2026-05-10 18:59:45+03:00,258.0,0.0,258.0,False
2026-05-10 18:59:46+03:00,220.0,96.0,316.0,False
2026-05-10 18:59:47+03:00,139.0,139.0,278.0,False
2026-05-10 18:59:51+03:00,220.0,96.0,316.0,False
2026-05-10 18:59:52+03:00,42.0,42.0,84.0,False
2026-05-10 18:59:56+03:00,220.0,96.0,316.0,False
2026-05-10 18:59:59+03:00,0.0,112.0,112.0,False
2026-05-10 19:00:00+03:00,700.0,350.0,1050.0,False
2026-05-10 19:00:01+03:00,274.0,96.0,370.0,False
2026-05-10 19:00:06+03:00,220.0,96.0,316.0,False
2026-05-10 19:00:11+03:00,220.0,96.0,316.0,False
2026-05-10 19:00:16+03:00,220.0,96.0,316.0,False
2026-05-10 19:00:21+03:00,220.0,96.0,316.0,False
2026-05-10 19:00:25+03:00,258.0,0.0,258.0,False
2026-05-10 19:00:26+03:00,220.0,96.0,316.0,False
2026-05-10 19:00:31+03:00,220.0,96.0,316.0,False
2026-05-10 19:00:36+03:00,220.0,96.0,316.0,False
2026-05-10 19:00:40+03:00,139.0,139.0,278.0,False
2026-05-10 19:00:41+03:00,220.0,96.0,316.0,False
2026-05-10 19:00:45+03:00,42.0,42.0,84.0,False
2026-05-10 19:00:46+03:00,220.0,96.0,316.0,False
2026-05-10 19:00:51+03:00,220.0,96.0,316.0,False
2026-05-10 19:00:56+03:00,220.0,96.0,316.0,False
2026-05-10 19:01:00+03:00,338.0,112.0,450.0,False
2026-05-10 19:01:01+03:00,321.0,208.0,529.0,False
2026-05-10 19:01:03+03:00,54.0,184.0,238.0,False
2026-05-10 19:01:04+03:00,261.0,0.0,261.0,False
2026-05-10 19:01:05+03:00,258.0,54.0,312.0,False
2026-05-10 19:01:06+03:00,220.0,96.0,316.0,False
2026-05-10 19:01:10+03:00,42.0,42.0,84.0,False
2026-05-10 19:01:11+03:00,220.0,96.0,316.0,False
2026-05-10 19:01:16+03:00,220.0,96.0,316.0,False
2026-05-10 19:01:21+03:00,220.0,96.0,316.0,False
2026-05-10 19:01:26+03:00,220.0,96.0,316.0,False
2026-05-10 19:01:31+03:00,220.0,96.0,316.0,False
2026-05-10 19:01:36+03:00,220.0,96.0,316.0,False
2026-05-10 19:01:40+03:00,85.0,0.0,85.0,False
2026-05-10 19:01:41+03:00,274.0,235.0,509.0,False
2026-05-10 19:01:45+03:00,258.0,0.0,258.0,False
2026-05-10 19:01:46+03:00,262.0,138.0,400.0,False
2026-05-10 19:01:51+03:00,220.0,96.0,316.0,False
2026-05-10 19:01:56+03:00,220.0,96.0,316.0,False
2026-05-10 19:02:00+03:00,700.0,278.0,978.0,False
2026-05-10 19:02:01+03:00,274.0,280.0,554.0,False
2026-05-10 19:02:06+03:00,220.0,96.0,316.0,False
2026-05-10 19:02:11+03:00,220.0,96.0,316.0,False
2026-05-10 19:02:16+03:00,220.0,96.0,316.0,False
2026-05-10 19:02:21+03:00,220.0,96.0,316.0,False
2026-05-10 19:02:25+03:00,258.0,0.0,258.0,False
2026-05-10 19:02:26+03:00,220.0,96.0,316.0,False
2026-05-10 19:02:31+03:00,220.0,96.0,316.0,False
2026-05-10 19:02:36+03:00,262.0,138.0,400.0,False
2026-05-10 19:02:40+03:00,85.0,139.0,224.0,False
2026-05-10 19:02:41+03:00,274.0,96.0,370.0,False
2026-05-10 19:02:46+03:00,262.0,138.0,400.0,False
2026-05-10 19:02:51+03:00,220.0,96.0,316.0,False
2026-05-10 19:02:56+03:00,220.0,96.0,316.0,False
2026-05-10 19:03:00+03:00,42.0,0.0,42.0,False
2026-05-10 19:03:05+03:00,258.0,0.0,258.0,False
2026-05-10 19:03:06+03:00,220.0,70.0,290.0,False
2026-05-10 19:03:11+03:00,220.0,70.0,290.0,False
2026-05-10 19:03:16+03:00,220.0,70.0,290.0,False
2026-05-10 19:03:20+03:00,139.0,139.0,278.0,False
2026-05-10 19:03:21+03:00,220.0,70.0,290.0,False
2026-05-10 19:03:26+03:00,220.0,70.0,290.0,False
2026-05-10 19:03:45+03:00,258.0,0.0,258.0,False
